0,0,0,0.00E+00
1,0.04,0.38,-0.042554
2,0.14,1.5,-0.085015
3,0.32,3.41,-0.12728
4,0.57,6.14,-0.16926
5,0.53,9.79,-0.21084
6,0.83,14.45,-0.25188
7,1.2,20.24,-0.29225
8,1.64,27.3,-0.33181
9,2.13,35.79,-0.37036
10,3.42,45.84,-0.40774
11,4.08,57.53,-0.44377
12,4.78,70.78,-0.47834
13,5.5,85.39,-0.51139
14,7.28,100.91,-0.54295
15,8.03,116.76,-0.57318
16,9.89,132.22,-0.60228
17,10.53,146.73,-0.63049
18,12.22,159.83,-0.65801
19,13.71,171.25,-0.68504
20,13.93,180.84,-0.71174
21,14.96,188.63,-0.73826
22,15.7,194.75,-0.76472
23,15.47,199.44,-0.79126
24,15.85,203.03,-0.81796
25,16.12,205.95,-0.84489
26,15.71,208.62,-0.87208
27,15.97,211.43,-0.89953
28,16.33,214.75,-0.92719
29,16.05,218.79,-0.95499
30,16.65,223.82,-0.98283
31,16.51,229.84,-1.0106
32,17.38,236.83,-1.0383
33,18.42,244.65,-1.0657
34,18.48,253.11,-1.0929
35,19.68,262.01,-1.1198
36,20.92,271.11,-1.1465
37,20.97,280.21,-1.1729
38,22.1,289.12,-1.1991
39,23.1,297.7,-1.225
40,22.92,305.83,-1.2508
